time,CPI,wage,return of equity,10 year,3 month
1998/2/15,0,0.00638774,4.617972651,5.881,5.33
1998/3/15,0,0.006320244,6.027110869,5.589,5.16
1998/4/15,0.001234568,0.005102109,7.089781426,5.545,4.98
1998/5/15,0.002466091,0.0059822,2.489590308,5.566,5.02
1998/6/15,0.001230012,0.004979803,-1.307966102,5.583,5.1
1998/7/15,0.002457002,0.004322558,6.577823608,5.544,5.08
1998/8/15,0.00122549,0.005261846,-1.794807411,5.552,4.89
1998/9/15,0.000611995,0.003028325,-9.103494301,5.388,4.36
1998/10/15,0.002446483,0.004281513,0.748456541,5.098,4.33
1998/11/15,0.001220256,0.004872297,14.0737621,5.275,4.54
1998/12/15,0.001828154,0.003327015,7.038679381,4.716,4.47
1999/1/15,0.001824818,0.004215667,5.85039548,4.712,4.47
1999/2/15,0,0.00371162,4.770765683,4.749,4.7
1999/3/15,0.000607165,0.002103975,-1.643951296,4.989,4.5
1999/4/15,0.006674757,0.002964829,5.856355164,4.946,4.55
1999/5/15,0.000602773,0.003032187,5.868128498,4.977,4.66
1999/6/15,0,0.003870478,-3.246567476,5.612,4.78
1999/7/15,0.004216867,0.004485548,7.828808586,5.643,4.75
1999/8/15,0.00239952,0.006409774,-2.631392654,5.672,4.93
1999/9/15,0.004189108,0.003452445,1.417401077,5.993,4.86
1999/10/15,0.001787843,0.008197739,-2.385654549,5.996,5.13
1999/11/15,0.001784652,0.008266601,6.738890249,6.023,5.32
1999/12/15,0.002375297,0.011009152,4.359803267,6.091,5.22
2000/1/15,0.002962085,0.013391023,5.213842544,6.25,5.68
2000/2/15,0.004134672,0.007298748,-2.016910983,6.272,5.8
2000/3/15,0.005882353,0.006914352,-0.985132834,6.446,5.88
2000/4/15,-0.000584795,0.003680361,10.25235203,6.263,5.81
2000/5/15,0.001755413,0.004041753,-1.414697969,6.392,5.64
2000/6/15,0.005841121,0.005729021,-0.2240252,6.363,5.87
2000/7/15,0.0029036,0.007691861,2.520829439,6.267,6.2
2000/8/15,0,0.004616731,-1.019444996,6.271,6.3
2000/9/15,0.005211349,0.004263171,6.798557124,5.721,6.21
2000/10/15,0.001728111,0.002864283,-4.43902602,5.781,6.37
2000/11/15,0.001725129,0.0010241,0.084902766,5.745,6.21
2000/12/15,0.002296211,0.002910017,-6.237677207,5.653,5.89
2001/1/15,0.005727377,0.011379607,1.573963261,5.484,4.99
2001/2/15,0.002277904,0.004482697,5.168690884,5.471,4.84
2001/3/15,0.000568182,0.003782131,-8.378168071,4.948,4.29
2001/4/15,0.001703578,-0.000133376,-6.322701836,4.988,3.89
2001/5/15,0.005102041,6.67E-05,11.76213602,5.114,3.55
2001/6/15,0.002256063,0.000533541,0.784392154,5.143,3.62
2001/7/15,-0.001688239,-0.000177752,-0.640576677,5.129,3.54
2001/8/15,0,-0.000688912,-0.390264573,5.028,3.37
2001/9/15,0.003945885,-0.001623395,-5.392593817,4.931,2.37
2001/10/15,-0.002807412,0.003352304,-6.873175427,4.827,2.05
2001/11/15,-0.000563063,0.000754801,5.825922681,4.708,1.78
2001/12/15,-0.00056338,0.000998248,5.604702518,4.893,1.73
2002/1/15,0.001691094,0.002548533,2.978991946,5.016,1.76
2002/2/15,0.001688239,0.001094189,-0.854198314,4.995,1.77
2002/3/15,0.002808989,0.001104033,2.243680271,4.914,1.79
2002/4/15,0.004481793,0.005304542,2.674140381,5.088,1.75
2002/5/15,0.001115449,0.002248843,-3.790113733,4.942,1.73
2002/6/15,0.000557103,0.003425895,-2.683684811,4.937,1.67
2002/7/15,0.002227171,-0.00086173,-5.281435984,4.854,1.68
2002/8/15,0.002777778,0.001331921,-6.880830537,4.703,1.64
2002/9/15,0.00166205,0.002006127,5.290516583,4.293,1.6
2002/10/15,0.002212389,0.003122858,-5.570479439,4.146,1.47
2002/11/15,0.001655629,0.002570778,8.016560248,4.24,1.23
2002/12/15,0.001652893,0.002953682,5.426025573,4.073,1.19
2003/1/15,0.00440044,0.000679612,-4.024279691,3.945,1.15
2003/2/15,0.005476451,0.001520003,-0.326362438,3.997,1.18
2003/3/15,0.001633987,0.005058986,-1.025175749,3.813,1.09
2003/4/15,-0.003806417,0.003255724,4.725375714,3.861,1.12
2003/5/15,-0.001637555,0.006607741,8.535159817,3.87,1.08
2003/6/15,0.001093494,0.005164533,7.24312234,3.566,0.84
2003/7/15,0.003276898,0.003418298,3.294281282,3.604,0.95
2003/8/15,0.004354927,0.004279346,1.579094389,3.866,0.96
2003/9/15,0.003252033,0.004166885,4.592422078,4.32,0.93
2003/10/15,-0.001080497,0.003899367,2.752886777,4.143,0.93
2003/11/15,0.000540833,0.007913841,5.696992595,4.29,0.91
2003/12/15,0.002702703,0.003328216,2.728138845,4.3,0.91
2004/1/15,0.004312668,0.003050158,5.546103988,4.255,0.9
2004/2/15,0.002147075,0.003880453,3.719071876,4.218,0.93
2004/3/15,0.002142475,0.004956756,3.433370858,3.998,0.93
2004/4/15,0.001603421,0.004881564,-0.41802969,3.968,0.96
2004/5/15,0.004268943,0.008857244,0.403374935,4.164,1.06
2004/6/15,0.003719447,0.003734033,2.041994022,4.733,1.3
2004/7/15,0.001058761,0.004368424,2.380331787,4.682,1.41
2004/8/15,0.000528821,0.004726771,-0.217075841,4.642,1.59
2004/9/15,0.003171247,0.00278714,1.705840668,4.208,1.68
2004/10/15,0.005268704,0.004977282,4.053931513,4.23,1.87
2004/11/15,0.004716981,0.001480886,1.712505524,4.197,2.19
2004/12/15,0,0.03423524,7.123411027,4.294,2.18
2005/1/15,-0.000521648,-0.023463021,2.648965057,4.239,2.48
2005/2/15,0.004175365,0.003771755,0.725993611,4.212,2.72
2005/3/15,0.003638254,0.00596963,3.535581255,4.123,2.73
2005/4/15,0.003107198,0.005290853,-1.26729761,4.149,2.84
2005/5/15,-0.000516262,0.005196145,0.962631382,4.063,2.93
2005/6/15,0.000516529,0.003990992,5.281332002,4.053,3.06
2005/7/15,0.006195147,0.007060583,1.208731982,4.097,3.34
2005/8/15,0.006157004,0.00578931,5.225036,4.19,3.44
2005/9/15,0.013768485,0.004952392,0.716145627,4.171,3.47
2005/10/15,0.001509054,0.00661094,2.248307288,4.296,3.89
2005/11/15,-0.005022602,0.004812488,-0.081577403,4.362,3.86
2005/12/15,0,0.005681139,6.947327813,4.508,3.99
2006/1/15,0.006057547,0.019625408,0.544800462,4.463,4.37
2006/2/15,0.000501756,0.00554928,4.567344688,4.523,4.51
2006/3/15,0.001504514,0.004145678,2.524621743,4.532,4.52
2006/4/15,0.005007511,0.003702388,2.338813234,4.635,4.65
2006/5/15,0.002989537,0.001264961,2.418650265,4.728,4.74
2006/6/15,0.002483855,0.00447036,0.427496993,5.119,4.87
2006/7/15,0.005450942,0.002902477,1.500665236,5.136,4.97
2006/8/15,0.004435683,0.002911617,1.195888735,5.07,4.92
2006/9/15,-0.004906771,0.004249812,5.034407831,4.819,4.77
2006/10/15,-0.00443787,0.003787747,3.409187268,4.779,4.95
2006/11/15,0.000495295,0.004866454,4.560888742,4.758,4.9
2006/12/15,0.005445545,0.007872928,3.892866553,4.553,4.89
2007/1/15,0.001659281,0.005670138,3.335775429,4.656,4.99
2007/2/15,0.003878351,0.00677943,3.728811958,4.702,5.01
2007/3/15,0.005200121,0.006860672,-1.087937397,4.6,4.9
2007/4/15,0.003000662,0.00196604,3.383692781,4.632,4.79
2007/5/15,0.004132994,0.002381452,6.144702187,4.632,4.6
2007/6/15,0.002316752,0.001288282,5.126749647,4.665,4.68
2007/7/15,0.001780596,0.003525687,0.679332179,4.68,4.82
2007/8/15,0.000308281,0.001323731,-1.648954937,4.594,3.91
2007/9/15,0.004237553,0.006501821,2.438053227,4.673,3.72
2007/10/15,0.003083238,0.001313442,6.775257498,4.678,3.84
2007/11/15,0.007858884,0.004421895,-0.634457121,4.608,3.08
2007/12/15,0.002898015,0.006841833,-0.47789743,4.129,3.29
2008/1/15,0.003447705,0.004503035,1.673584303,4.177,1.92
2008/2/15,0.002417827,0.003963098,-2.956799469,4.035,1.81
2008/3/15,0.003578028,0.005411571,-2.4621658,3.51,1.36
2008/4/15,0.002314381,-0.000981552,4.967361455,3.514,1.41
2008/5/15,0.005917492,0.04612188,4.858018654,3.572,1.85
2008/6/15,0.010478235,-0.017944849,0.360490442,3.906,1.87
2008/7/15,0.007141445,-0.011640942,-5.041572597,3.914,1.65
2008/8/15,-0.001488476,-0.008851382,0.335469021,3.899,1.69
2008/9/15,0.000855092,0.000592161,4.006861963,3.94,0.9
2008/10/15,-0.008598437,-0.00168746,-7.04229438,3.924,0.44
