time,CPI,wage,equity index dividend yield,equity price index,10 year,3 month,cpi_1,w_1,ey_1,ed_1,lt_3,st_1,st_2,st_3,st_4
2001/12/15,-0.003930376,0.005111985,0.013815876,-0.003246352,0.049129783,0.017324953,-0.008703891,0.007600514,0.097565121,0,-0.00055452,-0.006421885,-0.01898436,-0.025728597,-0.041864621
2002/3/15,0.006200676,0.004753568,0.013916107,0.001663864,0.049341503,0.017926714,-0.009162539,-0.000358417,0.004910216,0.000100231,-0.002309232,0.000601761,-0.005820124,-0.018382599,-0.025126836
2002/6/15,0.006162465,0.011017127,0.015319516,-0.080492675,0.049573395,0.016723252,-0.004302389,0.006263559,-0.082156539,0.001403409,6.0494E-05,-0.001203462,-0.000601701,-0.007023586,-0.019586061
2002/9/15,0.006681514,0.002476112,0.017425242,-0.119739017,0.043083765,0.016021343,-0.01494913,-0.008541015,-0.039246342,0.002105726,-0.006046018,-0.000701909,-0.001905371,-0.00130361,-0.007725495
2002/12/15,0.005530973,0.008672187,0.017024095,0.020151298,0.040868401,0.011911805,-0.008351908,0.006196075,0.139890315,-0.000401147,-0.008473102,-0.004109538,-0.004811447,-0.006014909,-0.005413148
2003/3/15,0.011551155,0.007270766,0.01943138,-0.106706045,0.038251286,0.010909904,-0.012160614,-0.001401421,-0.126857343,0.002407285,-0.011322109,-0.001001901,-0.005111439,-0.005813348,-0.00701681
2003/6/15,-0.00435019,0.015100563,0.017124379,0.158347408,0.035766075,0.008405881,-0.002023816,0.007829797,0.265053453,-0.002307001,-0.00731769,-0.002504023,-0.003505924,-0.007615462,-0.008317371
2003/9/15,0.010922993,0.011911293,0.017525533,0.042409514,0.043355707,0.009307209,-0.00561424,-0.00318927,-0.115937894,0.000401154,0.002487306,0.000901328,-0.001602695,-0.002604596,-0.006714134
2003/12/15,0.002160994,0.015211702,0.016823531,0.061616452,0.043154267,0.009106903,-0.001611829,0.003300409,0.019206938,-0.000702002,0.004902981,-0.000200306,0.000701022,-0.001803001,-0.002804902
2004/3/15,0.008625337,0.011933615,0.01612161,0.080215303,0.040113348,0.009307209,-0.004187995,-0.003278087,0.018598851,-0.000701921,0.004347273,0.000200306,0,0.000901328,-0.001602695
2004/6/15,0.009620524,0.01756754,0.017124379,-0.030070245,0.047516923,0.013014088,0.000443161,0.005633925,-0.110285548,0.001002769,0.004161216,0.003706879,0.003907185,0.003706879,0.004608207
2004/9/15,0.004764426,0.01192839,0.01772612,-0.013637174,0.042227733,0.016823531,-0.00579773,-0.00563915,0.016433071,0.000601741,-0.000926534,0.003809443,0.007516322,0.007716628,0.007516322
